Country,Year,Month,Total_Revenue,Total_Units,Total_Orders,Unique_Customers
United Kingdom,2009,12,613214.9,361783,1429,904
France,2009,12,6521.69,3688,13,10
Australia,2009,12,271.1,160,2,2
Portugal,2009,12,2821.58,1575,2,2
Norway,2009,12,485.31,182,1,1
Austria,2009,12,1998.34,564,2,2
Sweden,2009,12,285.3,174,1,1
Belgium,2009,12,447.6,153,3,2
Poland,2009,12,371.82,266,1,1
USA,2009,12,141.0,1,1,1
Netherlands,2009,12,15204.73,10822,6,2
Cyprus,2009,12,3556.98,1578,4,3
Italy,2009,12,422.35,157,1,1
Finland,2009,12,549.08,134,1,1
Germany,2009,12,10096.85,4828,18,10
Channel Islands,2009,12,989.18,439,1,1
Spain,2009,12,7950.18,3279,5,4
Greece,2009,12,610.95,441,1,1
Switzerland,2009,12,589.4,220,1,1
United Arab Emirates,2009,12,517.7,520,1,1
EIRE,2009,12,18170.46,8615,16,2
Denmark,2009,12,1437.66,574,2,2
EIRE,2010,1,65031.41,30807,30,5
Finland,2010,1,801.42,263,2,2
Netherlands,2010,1,29230.77,20531,6,3
Channel Islands,2010,1,838.75,193,1,1
Denmark,2010,1,7870.6,63754,2,2
Greece,2010,1,4798.35,1573,3,2
Unspecified,2010,1,1035.1,382,2,2
Japan,2010,1,2.95,1,1,1
Sweden,2010,1,1680.15,1537,3,2
Belgium,2010,1,1634.02,717,4,3
Cyprus,2010,1,76.52,32,1,1
Portugal,2010,1,117.72,1,1,1
Italy,2010,1,39.67,1,1,1
Nigeria,2010,1,27.82,1,1,1
United Kingdom,2010,1,416635.24,236956,906,663
France,2010,1,8465.63,5313,12,9
Germany,2010,1,12562.11,6321,21,13
Spain,2010,1,4181.24,1194,9,6
USA,2010,1,2289.59,1344,5,2
Spain,2010,2,554.04,279,4,3
EIRE,2010,2,20206.46,11249,17,3
Belgium,2010,2,3209.0,704,3,2
Australia,2010,2,1029.66,624,3,3
Cyprus,2010,2,750.49,294,2,1
Switzerland,2010,2,477.68,306,1,1
Denmark,2010,2,19809.9,93230,2,1
United Kingdom,2010,2,411077.93,235073,1001,713
Sweden,2010,2,8202.58,8497,7,3
Portugal,2010,2,458.83,245,3,2
Japan,2010,2,193.72,117,2,2
Germany,2010,2,9124.25,4789,27,18
France,2010,2,9024.16,4996,17,12
Austria,2010,2,1118.86,480,3,3
Netherlands,2010,2,17255.39,9883,8,2
Malta,2010,2,1636.38,606,2,1
RSA,2010,2,931.43,591,1,1
United Arab Emirates,2010,2,1310.3,798,1,1
Greece,2010,3,522.73,259,1,1
Channel Islands,2010,3,1065.12,996,1,1
Netherlands,2010,3,24447.98,16662,15,4
EIRE,2010,3,22989.46,14797,27,3
Belgium,2010,3,904.02,487,3,3
Sweden,2010,3,1337.58,560,5,4
Japan,2010,3,110.4,48,1,1
Australia,2010,3,429.39,191,2,2
United Kingdom,2010,3,589725.01,385372,1396,984
Portugal,2010,3,2519.05,1349,2,2
Italy,2010,3,734.22,499,2,2
Norway,2010,3,13916.34,2,2,1
Cyprus,2010,3,2879.19,1055,5,4
United Arab Emirates,2010,3,1201.52,1359,1,1
Switzerland,2010,3,951.62,454,3,2
Poland,2010,3,318.86,194,1,1
Spain,2010,3,1680.52,1043,6,4
France,2010,3,8657.59,4553,16,12
Germany,2010,3,16698.08,8883,28,19
Denmark,2010,3,7595.18,64302,2,2
Austria,2010,3,925.13,401,5,4
Switzerland,2010,4,1939.76,1201,2,2
Belgium,2010,4,2570.39,1445,4,4
Portugal,2010,4,85.54,46,1,1
Denmark,2010,4,748.0,576,1,1
United Kingdom,2010,4,503425.74,291692,1222,876
Netherlands,2010,4,6888.78,4944,10,8
Italy,2010,4,1525.85,890,2,2
Greece,2010,4,277.93,94,1,1
Singapore,2010,4,1252.95,509,1,1
Australia,2010,4,630.95,560,2,2
Channel Islands,2010,4,926.82,367,1,1
Spain,2010,4,833.98,490,2,2
Austria,2010,4,1388.54,798,1,1
France,2010,4,7405.18,3985,10,8
Unspecified,2010,4,252.52,153,1,1
Sweden,2010,4,17698.12,18648,16,3
Germany,2010,4,23683.23,12557,31,22
EIRE,2010,4,20668.08,11962,16,3
Cyprus,2010,4,1151.7,459,2,1
Finland,2010,4,1255.13,649,3,2
Cyprus,2010,5,515.61,144,1,1
Bahrain,2010,5,488.21,303,1,1
Channel Islands,2010,5,5378.52,2403,6,4
Belgium,2010,5,98.15,38,1,1
USA,2010,5,416.31,413,2,1
United Kingdom,2010,5,503483.12,328210,1270,901
Germany,2010,5,9108.36,4246,17,14
Spain,2010,5,2854.58,1498,5,3
Sweden,2010,5,3556.76,6084,10,1
Italy,2010,5,2374.7,1043,4,3
Finland,2010,5,837.11,370,1,1
France,2010,5,13958.15,8941,16,14
Netherlands,2010,5,22416.53,14910,8,6
Australia,2010,5,2371.15,667,6,4
Switzerland,2010,5,9825.16,5947,6,5
EIRE,2010,5,18447.91,9403,18,2
Greece,2010,5,2476.22,806,2,2
Portugal,2010,5,757.2,216,2,2
Austria,2010,5,622.04,655,1,1
Italy,2010,6,267.45,134,2,2
Australia,2010,6,3214.78,2280,3,3
Sweden,2010,6,914.3,467,2,2
United Kingdom,2010,6,541357.86,333286,1377,968
Germany,2010,6,15678.63,9326,27,16
Austria,2010,6,268.1,281,1,1
Switzerland,2010,6,2362.47,1882,2,2
USA,2010,6,896.07,551,4,2
Denmark,2010,6,2695.51,1887,4,3
Thailand,2010,6,1956.84,2028,1,1
Cyprus,2010,6,489.8,100,1,1
Channel Islands,2010,6,845.0,500,1,1
Finland,2010,6,534.14,242,1,1
EIRE,2010,6,22934.34,12306,24,2
Portugal,2010,6,3668.46,1632,4,4
Spain,2010,6,2332.2,884,2,2
Japan,2010,6,594.68,428,2,2
Poland,2010,6,556.16,282,1,1
Greece,2010,6,302.4,120,1,1
Netherlands,2010,6,24224.51,15761,8,4
Belgium,2010,6,3800.34,1588,6,4
France,2010,6,9172.54,5709,23,18
Switzerland,2010,7,743.99,507,5,3
Japan,2010,7,1253.3,726,3,1
Sweden,2010,7,2590.78,2513,2,2
Poland,2010,7,374.75,143,1,1
United Kingdom,2010,7,504239.92,280827,1272,856
France,2010,7,11408.15,4041,17,14
Germany,2010,7,20274.29,13100,26,21
Thailand,2010,7,1113.7,524,1,1
Australia,2010,7,686.12,224,3,2
Portugal,2010,7,288.1,72,1,1
EIRE,2010,7,31987.23,13700,22,3
USA,2010,7,508.1,134,1,1
Lithuania,2010,7,1706.23,971,1,1
Netherlands,2010,7,5534.29,3410,10,8
Finland,2010,7,956.23,362,2,2
Belgium,2010,7,1914.23,1393,7,6
Unspecified,2010,7,2379.88,1276,2,1
Spain,2010,7,1134.81,806,3,3
Israel,2010,7,1950.98,762,1,1
Denmark,2010,7,591.66,164,1,1
United Kingdom,2010,8,508488.09,314367,1193,849
Germany,2010,8,9943.12,5264,24,16
Netherlands,2010,8,25028.69,17667,10,5
Portugal,2010,8,463.22,189,2,2
Sweden,2010,8,2702.94,1827,5,2
Poland,2010,8,527.44,320,1,1
Belgium,2010,8,1713.62,954,3,3
West Indies,2010,8,536.41,395,1,1
France,2010,8,16570.32,89914,10,10
Switzerland,2010,8,2053.05,1062,3,3
Channel Islands,2010,8,1363.14,662,2,2
Nigeria,2010,8,112.57,102,1,1
Spain,2010,8,1299.99,675,5,4
United Arab Emirates,2010,8,2047.28,1364,1,1
EIRE,2010,8,22919.36,14510,23,3
Denmark,2010,8,2643.03,1520,3,3
Australia,2010,8,176.0,88,1,1
Greece,2010,8,721.71,561,1,1
Malta,2010,8,3737.12,943,2,1
Norway,2010,8,152.4,508,1,1
Austria,2010,8,1043.15,689,1,1
Netherlands,2010,9,45037.14,29199,19,8
Switzerland,2010,9,2474.44,1356,4,3
Portugal,2010,9,2964.58,1795,6,4
Spain,2010,9,3770.45,2325,6,6
Finland,2010,9,864.68,763,2,2
Japan,2010,9,1895.0,1100,1,1
Brazil,2010,9,268.27,189,1,1
Greece,2010,9,780.06,146,1,1
Denmark,2010,9,1725.25,1307,3,2
Australia,2010,9,785.83,293,2,2
France,2010,9,14531.33,6960,26,16
EIRE,2010,9,36349.13,19828,34,2
Austria,2010,9,1940.17,1217,5,3
Sweden,2010,9,2899.56,3526,4,3
Channel Islands,2010,9,6156.34,3341,9,5
Poland,2010,9,349.47,231,2,2
Korea,2010,9,168.69,102,1,1
United Kingdom,2010,9,681585.77,480331,1515,1048
Belgium,2010,9,1190.91,651,5,5
Cyprus,2010,9,1020.53,502,3,3
Germany,2010,9,17740.18,9257,32,21
Singapore,2010,9,2784.82,1244,3,1
Unspecified,2010,9,1978.15,1256,2,2
Norway,2010,9,973.69,619,1,1
Italy,2010,9,1380.56,1074,2,2
Channel Islands,2010,10,4341.19,1899,4,3
USA,2010,10,132.8,129,1,1
Denmark,2010,10,448.6,169,2,2
Japan,2010,10,1533.89,3199,1,1
United Kingdom,2010,10,879189.45,505380,1941,1379
Spain,2010,10,14088.5,6948,10,8
France,2010,10,15211.77,9923,28,22
Switzerland,2010,10,8629.69,4611,6,6
Belgium,2010,10,1475.72,664,5,4
Austria,2010,10,1236.7,351,4,3
Greece,2010,10,3084.02,1753,1,1
Netherlands,2010,10,17265.85,17628,12,4
Germany,2010,10,21561.63,11857,38,30
Portugal,2010,10,2978.23,2224,5,5
Cyprus,2010,10,551.33,253,1,1
EIRE,2010,10,43929.86,17302,43,2
Sweden,2010,10,9369.41,7814,8,6
Australia,2010,10,2989.15,1881,9,8
United Arab Emirates,2010,10,509.92,351,2,1
Italy,2010,10,5221.42,2140,7,7
Canada,2010,10,834.89,671,1,1
Bahrain,2010,10,317.76,192,1,1
Finland,2010,10,1166.69,675,2,2
Iceland,2010,10,611.53,509,1,1
United Kingdom,2010,11,983677.13,555515,2373,1486
Portugal,2010,11,5058.38,1985,7,5
Belgium,2010,11,5252.98,2743,7,7
Australia,2010,11,18245.52,12900,5,4
Poland,2010,11,821.14,568,2,2
Cyprus,2010,11,397.6,208,1,1
Norway,2010,11,4629.32,2974,4,3
Korea,2010,11,949.82,598,1,1
Unspecified,2010,11,300.93,261,1,1
Canada,2010,11,381.77,223,1,1
Japan,2010,11,23.6,8,3,1
Germany,2010,11,30240.51,15679,43,26
Spain,2010,11,6126.21,2968,7,6
Switzerland,2010,11,13570.73,4599,6,5
Denmark,2010,11,4059.96,1753,3,3
Italy,2010,11,2673.16,1287,6,5
Finland,2010,11,414.98,213,2,1
France,2010,11,18998.49,10990,37,24
United Arab Emirates,2010,11,1713.69,465,2,1
Greece,2010,11,761.3,414,1,1
Channel Islands,2010,11,2278.73,1111,3,3
Sweden,2010,11,1933.91,782,5,3
Netherlands,2010,11,36058.74,22102,22,7
Lithuania,2010,11,1525.39,683,1,1
EIRE,2010,11,27717.73,13424,37,3
USA,2010,11,402.6,234,1,1
Austria,2010,11,2873.3,1261,5,4
Israel,2010,11,1248.42,370,1,1
Germany,2010,12,20925.22,9492,30,18
Norway,2010,12,7574.24,7164,2,1
EIRE,2010,12,13547.66,8768,15,3
Portugal,2010,12,4104.49,1644,6,6
Belgium,2010,12,2156.01,2283,5,4
Iceland,2010,12,1423.58,638,1,1
Sweden,2010,12,3834.3,3954,2,1
United Kingdom,2010,12,777317.64,407548,1291,815
Poland,2010,12,496.32,280,1,1
Switzerland,2010,12,1608.32,824,2,2
Cyprus,2010,12,1590.82,917,1,1
France,2010,12,15906.73,8178,21,15
Australia,2010,12,1650.0,788,3,2
Spain,2010,12,2638.45,1334,4,4
Denmark,2010,12,2563.0,908,1,1
Finland,2010,12,892.8,1254,1,1
Netherlands,2010,12,8977.08,6908,3,2
Italy,2010,12,1239.3,459,2,2
Lithuania,2010,12,3322.12,1304,4,1
Japan,2010,12,11819.55,5777,3,3
Channel Islands,2010,12,727.06,160,1,1
Austria,2010,12,277.2,51,1,1
United Kingdom,2011,1,442190.06,278251,874,647
Sweden,2011,1,3486.32,3097,2,2
Australia,2011,1,9017.71,5644,9,7
France,2011,1,17740.12,9199,29,24
Cyprus,2011,1,547.5,144,1,1
Belgium,2011,1,1200.2,792,3,3
Netherlands,2011,1,26611.16,20417,5,2
Italy,2011,1,2402.51,1121,3,3
Finland,2011,1,889.02,765,2,2
Germany,2011,1,16910.84,9077,31,28
Portugal,2011,1,4055.71,2094,4,4
Channel Islands,2011,1,675.58,259,1,1
Lebanon,2011,1,1693.88,386,1,1
Spain,2011,1,10086.09,3845,8,7
EIRE,2011,1,21904.19,8794,7,2
Poland,2011,1,613.22,288,1,1
Greece,2011,1,2661.24,526,1,1
Switzerland,2011,1,4231.23,2993,3,3
Singapore,2011,1,2053.07,1091,1,1
Iceland,2011,1,475.39,315,1,1
Germany,2011,2,9581.05,4245,19,17
Netherlands,2011,2,23011.91,16387,5,2
Poland,2011,2,604.05,297,2,2
Cyprus,2011,2,4334.24,2191,6,4
France,2011,2,8515.96,5340,21,17
Denmark,2011,2,399.22,224,1,1
Austria,2011,2,518.36,342,2,2
Belgium,2011,2,2181.07,1102,8,7
Spain,2011,2,2114.5,870,4,4
Channel Islands,2011,2,1784.71,935,1,1
Sweden,2011,2,509.5,250,1,1
Israel,2011,2,779.1,286,1,1
Italy,2011,2,256.0,111,1,1
United Kingdom,2011,2,355655.63,213375,896,679
EIRE,2011,2,10126.52,4965,9,2
Norway,2011,2,630.9,295,2,2
Japan,2011,2,5780.81,2999,2,2
Switzerland,2011,2,2654.92,1107,5,4
United Arab Emirates,2011,2,889.24,496,1,1
Czech Republic,2011,2,549.26,346,1,1
Australia,2011,2,14695.42,8680,5,4
Portugal,2011,2,1213.9,558,2,2
Saudi Arabia,2011,2,145.92,80,1,1
Finland,2011,2,205.16,141,1,1
Greece,2011,3,387.31,289,1,1
Japan,2011,3,48.9,21,3,3
Sweden,2011,3,4720.58,5407,3,2
Canada,2011,3,140.54,88,1,1
Italy,2011,3,1806.81,688,4,3
Norway,2011,3,1265.31,156,4,1
Switzerland,2011,3,1870.23,986,3,3
Poland,2011,3,317.78,162,1,1
Belgium,2011,3,3351.98,1783,9,8
Portugal,2011,3,2660.85,1626,5,4
EIRE,2011,3,21674.36,9246,22,3
Channel Islands,2011,3,3509.33,2104,3,3
Austria,2011,3,1708.12,982,2,2
Spain,2011,3,5363.15,2545,8,8
Germany,2011,3,14392.69,7739,32,24
Netherlands,2011,3,22416.49,14828,8,4
Cyprus,2011,3,938.39,1005,1,1
United Kingdom,2011,3,467198.59,276304,1177,880
Finland,2011,3,5936.82,2536,5,1
France,2011,3,14589.55,8690,25,17
Australia,2011,3,17223.99,10439,3,3
Denmark,2011,3,3978.99,879,1,1
Japan,2011,4,6548.5,8058,2,2
EIRE,2011,4,7570.5,4135,11,2
Spain,2011,4,1785.65,953,3,3
Brazil,2011,4,1143.6,356,1,1
USA,2011,4,383.95,137,1,1
Australia,2011,4,771.6,225,2,2
Poland,2011,4,705.84,432,1,1
Belgium,2011,4,1989.48,1183,6,6
France,2011,4,5529.61,2287,14,14
Portugal,2011,4,1687.75,951,2,2
Unspecified,2011,4,299.1,282,1,1
Switzerland,2011,4,2076.94,886,4,2
Greece,2011,4,609.74,262,1,1
United Kingdom,2011,4,409559.14,260448,1058,784
Germany,2011,4,12315.54,5764,23,19
Netherlands,2011,4,2976.56,1768,3,1
Italy,2011,4,737.83,653,2,2
Sweden,2011,4,809.1,310,2,2
Finland,2011,4,1688.92,818,4,4
Austria,2011,4,680.78,311,2,2
Singapore,2011,4,8209.58,1389,3,1
Iceland,2011,4,636.25,483,1,1
European Community,2011,4,191.4,34,1,1
Channel Islands,2011,4,293.0,97,1,1
Austria,2011,5,1249.43,476,2,2
Unspecified,2011,5,852.68,654,1,1
Portugal,2011,5,4202.23,315,5,1
Channel Islands,2011,5,1207.24,224,2,2
United Kingdom,2011,5,551568.82,301824,1403,962
Poland,2011,5,1522.37,616,3,3
Bahrain,2011,5,548.4,260,2,2
Switzerland,2011,5,3610.01,2249,3,3
Italy,2011,5,587.45,267,1,1
EIRE,2011,5,15982.19,7251,18,3
Spain,2011,5,3257.6,1468,4,3
Australia,2011,5,13638.41,8999,4,2
Canada,2011,5,534.24,504,1,1
Denmark,2011,5,515.7,368,1,1
Germany,2011,5,25751.2,12997,42,27
France,2011,5,17614.88,9788,39,28
Belgium,2011,5,2732.4,1829,9,7
Sweden,2011,5,2681.98,2833,3,2
Netherlands,2011,5,29185.88,19936,11,4
Japan,2011,5,1351.45,743,1,1
France,2011,6,16078.97,9578,30,25
Italy,2011,6,202.07,55,2,2
Portugal,2011,6,884.46,421,3,3
Japan,2011,6,1607.04,2256,1,1
Switzerland,2011,6,7904.15,3970,4,4
Finland,2011,6,329.56,157,1,1
Netherlands,2011,6,26858.09,19744,11,5
Belgium,2011,6,4274.82,2245,11,11
United Kingdom,2011,6,524915.48,280974,1249,889
Australia,2011,6,25187.77,15981,4,2
Denmark,2011,6,3261.15,1544,3,3
European Community,2011,6,432.05,130,2,1
Canada,2011,6,1171.46,1092,1,1
Iceland,2011,6,382.52,196,1,1
Norway,2011,6,5886.86,2009,4,2
Sweden,2011,6,832.0,404,3,3
Germany,2011,6,13274.1,7470,24,21
Poland,2011,6,343.65,81,2,2
Spain,2011,6,3333.21,1538,8,8
Malta,2011,6,863.16,402,2,1
EIRE,2011,6,19835.99,12182,24,2
Channel Islands,2011,6,2060.03,836,1,1
Unspecified,2011,6,185.78,78,1,1
Cyprus,2011,6,1109.32,356,1,1
EIRE,2011,7,40905.15,21257,22,3
Unspecified,2011,7,798.48,590,3,2
Portugal,2011,7,2287.85,1436,3,3
European Community,2011,7,676.8,335,1,1
United Kingdom,2011,7,485612.25,303601,1200,859
Switzerland,2011,7,3762.65,1615,5,4
Spain,2011,7,7624.92,3438,9,7
Belgium,2011,7,2475.57,1679,5,4
Canada,2011,7,1768.58,1027,2,1
Australia,2011,7,4964.38,5318,7,3
Finland,2011,7,2996.73,1273,3,3
Norway,2011,7,890.07,586,1,1
Denmark,2011,7,376.24,241,1,1
Sweden,2011,7,6802.09,6006,3,2
Greece,2011,7,421.24,244,1,1
Germany,2011,7,16440.98,9096,33,26
Israel,2011,7,1430.75,633,1,1
Italy,2011,7,147.1,22,1,1
Japan,2011,7,3854.4,2328,2,2
Singapore,2011,7,3949.32,2160,1,1
France,2011,7,10000.19,5664,22,18
Netherlands,2011,7,26.02,10,1,1
Poland,2011,7,687.3,288,2,2
Austria,2011,7,1191.95,573,2,2
Germany,2011,8,19220.77,9641,39,29
Poland,2011,8,401.8,186,2,2
Switzerland,2011,8,4969.89,2998,3,3
Belgium,2011,8,3554.02,2069,9,8
Israel,2011,8,4873.81,3028,1,1
United Kingdom,2011,8,498453.32,310831,1133,834
Iceland,2011,8,584.91,277,1,1
Unspecified,2011,8,531.03,185,2,2
Sweden,2011,8,1400.86,1314,5,4
Netherlands,2011,8,40327.81,29300,7,1
Channel Islands,2011,8,4896.78,2009,5,4
Finland,2011,8,1376.5,693,3,2
Italy,2011,8,1990.95,1147,4,3
Austria,2011,8,1516.08,790,2,2
EIRE,2011,8,16967.38,9091,17,2
Norway,2011,8,2025.81,636,2,2
Portugal,2011,8,1221.4,1026,1,1
France,2011,8,13810.96,7958,28,22
Malta,2011,8,1119.0,382,2,2
Spain,2011,8,3346.91,1600,10,6
Denmark,2011,8,213.15,338,1,1
Australia,2011,8,22489.2,12570,2,2
Canada,2011,8,51.56,52,1,1
United Arab Emirates,2011,9,1013.04,486,2,1
Belgium,2011,9,4208.02,1969,7,7
Norway,2011,9,8678.94,4655,6,5
Italy,2011,9,279.8,48,1,1
EIRE,2011,9,40995.49,22136,36,2
Finland,2011,9,1105.45,515,4,4
Poland,2011,9,529.25,253,2,2
Spain,2011,9,5189.24,2683,8,6
Germany,2011,9,18091.22,11156,41,31
France,2011,9,23428.04,13002,45,36
Channel Islands,2011,9,1323.75,764,2,2
Denmark,2011,9,4570.16,1608,3,3
Japan,2011,9,112.08,144,1,1
United Kingdom,2011,9,796780.27,454559,1568,1146
Australia,2011,9,5106.73,4079,8,6
Sweden,2011,9,4575.21,4344,3,3
Switzerland,2011,9,8284.86,4255,7,5
Netherlands,2011,9,26937.26,17309,7,2
Portugal,2011,9,1433.22,899,3,3
Cyprus,2011,9,196.35,33,1,1
United Kingdom,2011,10,824766.22,476984,1705,1230
France,2011,10,33485.45,13807,35,27
Channel Islands,2011,10,2623.32,1407,5,2
Germany,2011,10,31638.42,17740,58,38
Australia,2011,10,17150.53,7401,4,2
USA,2011,10,2311.2,1717,2,2
Denmark,2011,10,1490.76,869,3,3
Belgium,2011,10,5685.38,3170,11,9
RSA,2011,10,1002.31,351,1,1
Singapore,2011,10,7067.32,601,2,1
Israel,2011,10,138.03,99,2,1
Czech Republic,2011,10,277.48,325,1,1
Netherlands,2011,10,40708.65,27230,15,4
Portugal,2011,10,5899.46,3150,9,5
Switzerland,2011,10,7655.19,4532,6,5
Norway,2011,10,3687.23,1692,7,5
Cyprus,2011,10,4412.87,1415,4,4
Japan,2011,10,1948.04,1124,2,2
EIRE,2011,10,24317.92,15904,31,2
Spain,2011,10,8636.94,4352,8,7
Italy,2011,10,3489.69,1597,7,5
Austria,2011,10,1043.78,491,1,1
Sweden,2011,10,5766.16,6151,3,2
Finland,2011,10,2822.12,1115,6,5
Iceland,2011,10,1294.32,676,1,1
Norway,2011,11,6527.5,3406,5,5
Australia,2011,11,7242.72,4098,6,3
Austria,2011,11,1329.78,717,2,2
Denmark,2011,11,2699.57,1537,2,2
Japan,2011,11,8460.08,4250,2,2
United Kingdom,2011,11,980645.75,571215,2386,1505
Belgium,2011,11,6315.76,2560,11,8
EIRE,2011,11,29473.41,16125,39,2
Malta,2011,11,743.43,186,1,1
Netherlands,2011,11,25874.01,18663,15,4
Germany,2011,11,28025.02,13453,68,44
Switzerland,2011,11,8118.96,3777,6,4
Spain,2011,11,8678.96,3507,14,12
Cyprus,2011,11,460.89,300,1,1
Italy,2011,11,4571.08,2063,9,9
Poland,2011,11,1361.23,941,2,2
France,2011,11,31337.09,17384,62,39
Portugal,2011,11,2644.9,1093,10,7
Finland,2011,11,3070.24,1087,8,5
Channel Islands,2011,11,1514.77,716,3,2
Sweden,2011,11,2722.23,1973,5,5
USA,2011,12,885.24,604,2,2
Austria,2011,12,683.2,148,1,1
France,2011,12,7294.92,3786,18,17
Portugal,2011,12,2808.19,1569,4,4
Denmark,2011,12,168.9,173,1,1
Germany,2011,12,7984.17,4006,17,12
Norway,2011,12,2785.7,2319,3,2
Spain,2011,12,316.21,274,2,2
Netherlands,2011,12,11728.02,7958,3,1
Iceland,2011,12,224.82,192,1,1
United Kingdom,2011,12,472384.17,260607,706,560
Finland,2011,12,1232.76,350,3,3
Channel Islands,2011,12,198.4,60,1,1
Sweden,2011,12,238.0,40,1,1
Greece,2011,12,680.99,236,1,1
Belgium,2011,12,1417.73,1101,4,4
EIRE,2011,12,6978.92,3946,9,1
Italy,2011,12,200.45,45,1,1
